DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
07/31/2026,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2026,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2026,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2026,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2026,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2026,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2027,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2027,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2027,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2027,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2027,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2027,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
02/29/2028,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2028,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2028,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2028,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2028,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2028,,,,,,,,,,,,,,,,,,,,,,,,
01/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
02/28/2029,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
04/30/2029,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2029,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2029,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2029,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2029,,,,,,,,,,,,,,,,,,,,,,,,
01/31/1930,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1930,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1930,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1930,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1930,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1930,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1930,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1930,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1930,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1930,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1930,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.06%
01/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-2.24%
02/28/1931,,,,,,,,,,,,,,,,,,,,,,,,-7.74%
